id,income
50001,25045.033
50002,25279.982
50003,30287.033
50004,22467.553
50005,31155.926
50006,24581.271
50007,23485.59
50008,37148.906
50009,24035.559
50010,36949.387
50011,23485.59
50012,23485.59
50013,41231.38
50014,33067.523
50015,48439.46
50016,27208.479
50017,42109.207
50018,35987.31
50019,23275.264
50020,25839.59
50021,19569.627
50022,36883.977
50023,27208.479
50024,24443.076
50025,19569.627
50026,114436.22
50027,28252.818
50028,25988.465
50029,23672.906
50030,24463.549
50031,19569.627
50032,72962.836
50033,23485.59
50034,21820.49
50035,65635.19
50036,23879.955
50037,32873.215
50038,23275.264
50039,36931.79
50040,24945.393
50041,58169.73
50042,33005.01
50043,25178.406
50044,27645.826
50045,25279.982
50046,27378.928
50047,34462.113
50048,25178.406
50049,25178.406
50050,33131.19
50051,28169.707
50052,33480.24
50053,70588.45
50054,40572.812
50055,27849.287
50056,41617.676
50057,23983.744
50058,23485.59
50059,19569.627
50060,24133.572
50061,32911.547
50062,99882.16
50063,19901.043
50064,23957.312
50065,22031.79
50066,29256.69
50067,61730.97
50068,25279.982
50069,23275.264
50070,24980.572
50071,27208.479
50072,21468.055
50073,24035.559
50074,30238.055
50075,30740.223
50076,25279.982
50077,43209.418
50078,57217.83
50079,33654.887
50080,75614.945
50081,22876.658
50082,30334.432
50083,24240.693
50084,25178.406
50085,24968.28
50086,51296.996
50087,22041.656
50088,37019.566
50089,58020.953
50090,19569.627
50091,21468.055
50092,28696.662
50093,25688.86
50094,28469.537
50095,31709.8
50096,24661.678
50097,24744.041
50098,25273.893
50099,25178.406
50100,25279.982
50101,25703.666
50102,34469.36
50103,25279.982
50104,21820.49
50105,29043.697
50106,29376.148
50107,25129.87
50108,48872.832
50109,33085.773
50110,21932.488
50111,53136.168
50112,25279.982
50113,87659.29
50114,23275.264
50115,79029.77
50116,95264.34
50117,23844.71
50118,22018.154
50119,23275.264
50120,31710.162
50121,27208.479
50122,60036.598
50123,47951.004
50124,23485.59
50125,37912.6
50126,32994.688
50127,21799.47
50128,24592.6
50129,25365.516
50130,26020.275
50131,19569.627
50132,23485.59
50133,33141.887
50134,24744.041
50135,20287.646
50136,30421.088
50137,19569.627
50138,23207.602
50139,36359.8
50140,49961.53
50141,23162.352
50142,26138.848
50143,27905.64
50144,29256.69
50145,27954.756
50146,28169.707
50147,50056.453
50148,23494.643
50149,19012.36
50150,58002.035
50151,21820.49
50152,26310.174
50153,25085.87
50154,81010.41
50155,21468.055
50156,29304.844
50157,35856.363
50158,65952.97
50159,25079.896
50160,23485.59
50161,23770.568
50162,41170.22
50163,25178.406
50164,19012.36
50165,75651.59
50166,21468.055
50167,19569.627
50168,19640.838
50169,25826.188
50170,20701.643
50171,54230.32
50172,19012.36
50173,32134.566
50174,25279.982
50175,29256.69
50176,31143.174
50177,22572.873
50178,20287.9
50179,30584.35
50180,67736.35
50181,27916.959
50182,30829.736
50183,34475.105
50184,24802.615
50185,26605.598
50186,37223.902
50187,27208.479
50188,38906.918
50189,21820.49
50190,27152.2
50191,29931.393
50192,75657.13
50193,26271.99
50194,19569.627
50195,23300.92
50196,21002.963
50197,31709.8
50198,25279.982
50199,24035.559
50200,25178.406
50201,88794.49
50202,34116.195
50203,30643.385
50204,31693.055
50205,21820.49
50206,19569.627
50207,21820.49
50208,60853.68
50209,25279.982
50210,21468.055
50211,26975.545
50212,23275.264
50213,23485.59
50214,23275.264
50215,59656.23
50216,20701.643
50217,53593.777
50218,25279.982
50219,54892.312
50220,61072.16
50221,25279.982
50222,27645.826
50223,59129.54
50224,25178.406
50225,25279.982
50226,26315.768
50227,59589.2
50228,19569.627
50229,29991.664
50230,46914.785
50231,23275.264
50232,51674.914
50233,25614.504
50234,23539.018
50235,32957.92
50236,30082.287
50237,32836.21
50238,25178.406
50239,24035.559
50240,19569.627
50241,31444.81
50242,27208.479
50243,28774.139
50244,22689.172
50245,22699.775
50246,25876.564
50247,30438.604
50248,28950.775
50249,26568.967
50250,19348.959
50251,55984.16
50252,19569.627
50253,27208.479
50254,24628.455
50255,41437.605
50256,23275.264
50257,75963.164
50258,24027.086
50259,27022.943
50260,29083.418
50261,19640.838
50262,27426.324
50263,21820.49
50264,20583.242
50265,31709.8
50266,25150.914
50267,45510.11
50268,40389.703
50269,31652.871
50270,25279.982
50271,29256.69
50272,29954.941
50273,27208.479
50274,19569.627
50275,21820.49
50276,50921.402
50277,24523.373
50278,20452.691
50279,27321.646
50280,19569.627
50281,26028.465
50282,26392.541
50283,22516.96
50284,19569.627
50285,31587.717
50286,34040.57
50287,19569.627
50288,21030.49
50289,21398.525
50290,36372.336
50291,26923.678
50292,20723.229
50293,33461.33
50294,28169.707
50295,26864.959
50296,20940.846
50297,29005.18
50298,25279.982
50299,30738.775
50300,25233.861
50301,20538.979
50302,23275.264
50303,33978.55
50304,20216.69
50305,26857.17
50306,28449.018
50307,29509.406
50308,23275.264
50309,58130.625
50310,25695.586
50311,25279.982
50312,25279.982
50313,24744.041
50314,32778.96
50315,21820.49
50316,38897.566
50317,24826.256
50318,19569.627
50319,26117.217
50320,24388.826
50321,83121.27
50322,20205.162
50323,21468.055
50324,34364.418
50325,25178.406
50326,19569.627
50327,28492.787
50328,27768.049
50329,43043.465
50330,22831.867
50331,30794.469
50332,34740.324
50333,62776.44
50334,19569.627
50335,108225.19
50336,27916.959
