id,income
50001,23818.8125
50002,25588.59375
50003,27541.14453125
50004,22732.2578125
50005,31008.4375
50006,27779.041015625
50007,23973.7421875
50008,45300.6875
50009,23834.75
50010,36345.625
50011,23973.7421875
50012,23973.7421875
50013,43208.4296875
50014,42129.15625
50015,62022.5703125
50016,26417.865234375
50017,37701.8671875
50018,26636.501953125
50019,23374.1953125
50020,28028.48828125
50021,21027.30859375
50022,51609.296875
50023,25801.64453125
50024,26493.525390625
50025,19651.572265625
50026,108298.1171875
50027,28275.5234375
50028,24714.3984375
50029,23950.55078125
50030,26073.37890625
50031,19651.572265625
50032,70504.96875
50033,23973.7421875
50034,22143.2734375
50035,66347.109375
50036,24134.69140625
50037,31999.390625
50038,22837.599609375
50039,35407.4921875
50040,26322.1171875
50041,68856.9375
50042,32892.41015625
50043,25362.28125
50044,23319.1953125
50045,24883.8046875
50046,26508.30859375
50047,35951.078125
50048,26086.072265625
50049,26086.072265625
50050,32665.02734375
50051,27970.1328125
50052,32943.375
50053,44873.08984375
50054,49413.4921875
50055,28469.09375
50056,38332.08203125
50057,24215.5
50058,23973.7421875
50059,19651.572265625
50060,31754.890625
50061,35375.6875
50062,69519.4765625
50063,26209.296875
50064,25153.349609375
50065,26075.701171875
50066,27822.73046875
50067,63216.7109375
50068,24883.8046875
50069,22837.599609375
50070,24930.8828125
50071,26211.552734375
50072,22123.1484375
50073,23834.75
50074,29262.203125
50075,29082.8359375
50076,24883.8046875
50077,34831.484375
50078,45831.3671875
50079,44109.6796875
50080,92450.2734375
50081,23893.611328125
50082,28415.30078125
50083,22784.244140625
50084,26086.072265625
50085,24703.751953125
50086,61335.8203125
50087,22226.66015625
50088,40024.96875
50089,75013.21875
50090,20353.384765625
50091,21606.36328125
50092,27387.5546875
50093,27156.333984375
50094,26753.75
50095,31837.26953125
50096,25380.109375
50097,25008.61328125
50098,27023.69921875
50099,26086.072265625
50100,26518.11328125
50101,23362.71484375
50102,31131.4609375
50103,24883.8046875
50104,22143.2734375
50105,27399.7578125
50106,32156.984375
50107,25148.90625
50108,53656.84765625
50109,32205.376953125
50110,25760.64453125
50111,67480.6796875
50112,24883.8046875
50113,73016.46875
50114,23327.51953125
50115,57881.28515625
50116,70251.390625
50117,24645.0078125
50118,21124.32421875
50119,23126.33203125
50120,29031.603515625
50121,26242.73046875
50122,37587.1328125
50123,77656.03125
50124,23973.7421875
50125,29564.9765625
50126,32127.705078125
50127,22155.671875
50128,23686.048828125
50129,24031.5546875
50130,27471.3515625
50131,20185.4609375
